survey_id,user_id,favorite_genre,preferred_instrument,listening_frequency,survey_date
217,400,Country,Flute,Occasionally,2024-01-02
218,203,Rock,Violin,Never,2024-05-04
219,407,Hip Hop,Piano,Rarely,2024-02-20
220,343,Rock,Saxophone,Rarely,2024-06-02
221,384,Electronic,Flute,Daily,2024-03-11
222,182,Country,Drums,Daily,2024-09-22
223,28,Country,Saxophone,Never,2024-03-06
224,20,Classical,Trumpet,Daily,2024-02-23
225,398,Classical,Drums,Never,2024-10-26
226,75,Classical,Saxophone,Daily,2024-04-25
227,339,Hip Hop,Drums,Occasionally,2024-06-13
228,277,Pop,Drums,Rarely,2024-04-09
229,80,Classical,Flute,Daily,2024-03-20
230,97,Country,Saxophone,Rarely,2024-03-28
231,303,Rock,Piano,Rarely,2024-05-04
232,535,Classical,Violin,Never,2024-03-30
233,29,Pop,Flute,Rarely,2024-01-05
234,507,Rock,Guitar,Occasionally,2024-11-01
235,109,Classical,Violin,Never,2024-06-13
236,49,Classical,Violin,Occasionally,2024-02-16
237,416,Pop,Piano,Daily,2024-04-12
238,492,Hip Hop,Violin,Never,2024-05-05
239,224,Electronic,Piano,Weekly,2024-02-07
240,496,Electronic,Trumpet,Rarely,2024-01-30
241,93,Jazz,Flute,Weekly,2024-02-04
242,156,Rock,Violin,Rarely,2024-01-11
243,310,Rock,Trumpet,Never,2024-10-11
244,517,Electronic,Saxophone,Weekly,2024-04-10
245,337,Rock,Trumpet,Daily,2024-08-10
246,420,Hip Hop,Saxophone,Occasionally,2024-01-27
247,192,Pop,Trumpet,Never,2024-04-02
248,157,Classical,Piano,Never,2024-06-26
249,26,Pop,Trumpet,Daily,2024-10-10
250,502,Hip Hop,Trumpet,Rarely,2024-02-12
251,372,Pop,Saxophone,Occasionally,2024-05-28
252,317,Classical,Trumpet,Never,2024-01-03
253,91,Rock,Trumpet,Occasionally,2024-03-29
254,40,Classical,Saxophone,Weekly,2024-02-16
255,255,Country,Guitar,Occasionally,2024-07-02
256,529,Pop,Drums,Never,2024-06-02
257,106,Electronic,Piano,Occasionally,2024-08-23
258,194,Pop,Guitar,Weekly,2024-02-22
259,17,Pop,Drums,Never,2024-10-04
260,457,Pop,Guitar,Daily,2024-06-07
261,138,Jazz,Guitar,Daily,2024-05-30
262,444,Classical,Guitar,Rarely,2024-05-26
263,118,Electronic,Trumpet,Rarely,2024-01-16
264,133,Electronic,Drums,Weekly,2024-01-06
265,436,Pop,Drums,Never,2024-10-07
266,299,Hip Hop,Violin,Never,2024-07-18
267,491,Classical,Saxophone,Weekly,2024-11-12
268,206,Hip Hop,Guitar,Daily,2024-07-25
269,534,Country,Flute,Occasionally,2024-05-24
270,212,Electronic,Guitar,Occasionally,2024-03-09
271,48,Jazz,Violin,Occasionally,2024-09-30
272,303,Jazz,Trumpet,Rarely,2024-01-31
273,319,Hip Hop,Violin,Weekly,2024-11-09
274,212,Pop,Violin,Weekly,2024-10-10
275,534,Electronic,Piano,Rarely,2024-10-04
276,359,Electronic,Violin,Rarely,2024-01-01
277,489,Pop,Flute,Occasionally,2024-10-11
278,442,Jazz,Flute,Occasionally,2024-11-11
279,445,Classical,Trumpet,Daily,2024-10-18
280,371,Pop,Drums,Daily,2024-05-26
281,346,Country,Guitar,Weekly,2024-05-29
282,65,Jazz,Guitar,Never,2024-09-12
283,83,Hip Hop,Piano,Daily,2024-06-13
284,418,Pop,Trumpet,Weekly,2024-08-26
285,551,Hip Hop,Trumpet,Weekly,2024-05-12
286,11,Hip Hop,Violin,Occasionally,2024-07-08
287,517,Country,Flute,Rarely,2024-03-02
288,348,Classical,Drums,Occasionally,2024-05-06
289,191,Country,Trumpet,Rarely,2024-10-13
290,540,Pop,Saxophone,Occasionally,2024-05-26
291,389,Rock,Guitar,Never,2024-07-28
292,26,Classical,Flute,Occasionally,2024-08-03
293,474,Rock,Saxophone,Weekly,2024-05-21
294,436,Country,Drums,Daily,2024-09-13
295,36,Jazz,Violin,Occasionally,2024-03-07
296,467,Jazz,Saxophone,Daily,2024-01-02
297,331,Hip Hop,Violin,Weekly,2024-05-09
298,87,Electronic,Saxophone,Daily,2024-11-10
299,174,Jazz,Trumpet,Never,2024-02-08
300,503,Rock,Drums,Never,2024-09-29
301,455,Country,Violin,Daily,2024-04-29
302,58,Country,Piano,Rarely,2024-02-11
303,183,Electronic,Drums,Weekly,2024-01-24
304,305,Classical,Flute,Occasionally,2024-04-16
305,484,Country,Flute,Weekly,2024-08-21
306,44,Country,Guitar,Weekly,2024-01-22
307,261,Pop,Trumpet,Daily,2024-06-05
308,213,Pop,Saxophone,Never,2024-10-17
309,521,Classical,Violin,Rarely,2024-10-22
310,169,Country,Drums,Never,2024-06-29
311,482,Rock,Drums,Rarely,2024-10-19
312,225,Rock,Saxophone,Weekly,2024-07-04
313,298,Rock,Saxophone,Weekly,2024-04-20
314,369,Classical,Piano,Never,2024-10-20
315,297,Electronic,Guitar,Occasionally,2024-09-30
316,34,Jazz,Trumpet,Never,2024-04-10
317,515,Rock,Saxophone,Weekly,2024-08-12
318,260,Electronic,Guitar,Never,2024-07-01
319,54,Country,Piano,Never,2024-10-29
320,312,Jazz,Trumpet,Weekly,2024-09-30
321,175,Jazz,Saxophone,Rarely,2024-03-11
322,136,Country,Drums,Daily,2024-04-30
323,190,Pop,Drums,Occasionally,2024-07-24
324,46,Classical,Violin,Occasionally,2024-01-06
325,162,Electronic,Guitar,Weekly,2024-02-24
326,88,Hip Hop,Guitar,Rarely,2024-01-31
327,378,Classical,Piano,Weekly,2024-10-15
328,421,Country,Drums,Occasionally,2024-03-14
329,237,Pop,Guitar,Never,2024-03-04
330,320,Country,Flute,Weekly,2024-08-19
331,268,Classical,Piano,Occasionally,2024-04-13
332,363,Country,Violin,Weekly,2024-09-16
333,276,Rock,Violin,Weekly,2024-02-05
334,475,Classical,Saxophone,Rarely,2024-03-17
335,387,Rock,Piano,Daily,2024-04-25
336,425,Hip Hop,Guitar,Occasionally,2024-09-16
337,283,Hip Hop,Trumpet,Never,2024-02-10
338,361,Rock,Saxophone,Daily,2024-09-17
339,117,Jazz,Flute,Weekly,2024-07-17
340,360,Hip Hop,Drums,Never,2024-07-05
341,117,Electronic,Trumpet,Weekly,2024-10-27
342,435,Country,Trumpet,Occasionally,2024-11-12
343,324,Hip Hop,Drums,Never,2024-04-07
344,493,Jazz,Saxophone,Never,2024-09-28
345,268,Electronic,Flute,Daily,2024-01-06
346,509,Rock,Drums,Rarely,2024-10-18
347,60,Electronic,Piano,Occasionally,2024-03-02
348,233,Rock,Guitar,Rarely,2024-04-15
349,530,Electronic,Flute,Rarely,2024-01-09
350,269,Classical,Guitar,Weekly,2024-10-21
351,28,Pop,Violin,Occasionally,2024-11-13
352,266,Electronic,Guitar,Rarely,2024-06-01
353,390,Rock,Guitar,Never,2024-11-09
354,494,Country,Piano,Occasionally,2024-09-29
355,417,Rock,Drums,Daily,2024-06-16
356,319,Electronic,Drums,Weekly,2024-04-19
357,550,Electronic,Violin,Never,2024-03-01
358,437,Pop,Flute,Never,2024-01-21
359,311,Pop,Guitar,Occasionally,2024-08-15
360,558,Country,Piano,Occasionally,2024-05-30
361,298,Pop,Drums,Daily,2024-05-16
362,438,Country,Drums,Never,2024-02-16
363,345,Jazz,Saxophone,Weekly,2024-07-03
364,431,Jazz,Saxophone,Weekly,2024-01-16
365,301,Hip Hop,Violin,Rarely,2024-08-28
366,44,Electronic,Trumpet,Never,2024-10-11
367,215,Electronic,Drums,Never,2024-05-24
368,180,Classical,Saxophone,Weekly,2024-03-03
369,165,Pop,Flute,Occasionally,2024-09-11
370,151,Country,Drums,Weekly,2024-07-22
371,316,Electronic,Saxophone,Rarely,2024-07-19
372,16,Pop,Trumpet,Daily,2024-07-16
373,270,Country,Trumpet,Weekly,2024-06-08
374,474,Jazz,Drums,Daily,2024-02-13
375,221,Electronic,Drums,Daily,2024-08-03
376,371,Electronic,Violin,Weekly,2024-06-28
377,429,Electronic,Piano,Rarely,2024-07-01
378,544,Pop,Flute,Daily,2024-01-26
379,177,Jazz,Drums,Rarely,2024-05-07
380,348,Electronic,Drums,Daily,2024-04-18
381,6,Hip Hop,Guitar,Rarely,2024-04-10
382,200,Jazz,Guitar,Daily,2024-08-03
383,466,Country,Drums,Daily,2024-04-20
384,285,Hip Hop,Violin,Occasionally,2024-08-06
385,554,Hip Hop,Drums,Weekly,2024-10-22
386,354,Pop,Trumpet,Rarely,2024-04-06
387,386,Hip Hop,Violin,Rarely,2024-03-26
388,204,Jazz,Piano,Rarely,2024-08-16
389,436,Electronic,Violin,Occasionally,2024-05-03
390,303,Classical,Drums,Never,2024-07-04
391,406,Rock,Piano,Daily,2024-04-11
392,413,Jazz,Violin,Never,2024-03-21
393,445,Jazz,Violin,Never,2024-06-28
394,190,Electronic,Saxophone,Occasionally,2024-09-08
395,546,Country,Piano,Weekly,2024-08-21
396,68,Electronic,Guitar,Weekly,2024-03-20
397,32,Classical,Piano,Weekly,2024-06-07
398,207,Jazz,Piano,Never,2024-05-03
399,408,Electronic,Flute,Weekly,2024-03-05
400,524,Hip Hop,Trumpet,Never,2024-01-03
401,502,Electronic,Violin,Rarely,2024-08-29
402,274,Rock,Piano,Daily,2024-06-30
403,346,Classical,Violin,Daily,2024-09-07
404,502,Electronic,Drums,Weekly,2024-03-26
405,377,Rock,Saxophone,Rarely,2024-01-01
406,168,Country,Drums,Rarely,2024-04-26
407,454,Country,Guitar,Rarely,2024-01-01
408,250,Pop,Saxophone,Occasionally,2024-07-27
409,529,Electronic,Guitar,Occasionally,2024-07-06
410,437,Hip Hop,Drums,Weekly,2024-07-11
411,522,Rock,Saxophone,Never,2024-09-28
412,315,Jazz,Drums,Never,2024-10-01
413,16,Pop,Drums,Never,2024-09-29
414,387,Rock,Piano,Rarely,2024-02-14
415,19,Country,Guitar,Daily,2024-11-12
416,547,Electronic,Violin,Never,2024-09-07
417,97,Jazz,Trumpet,Occasionally,2024-06-05
418,8,Rock,Saxophone,Rarely,2024-04-02
419,384,Rock,Guitar,Occasionally,2024-09-14
420,234,Pop,Guitar,Never,2024-06-25
421,288,Classical,Drums,Rarely,2024-10-19
422,220,Rock,Piano,Occasionally,2024-01-28
423,198,Country,Piano,Rarely,2024-10-18
424,162,Classical,Saxophone,Never,2024-09-20
425,425,Classical,Piano,Daily,2024-04-30
426,201,Electronic,Flute,Daily,2024-10-04
427,108,Pop,Guitar,Daily,2024-03-30
428,95,Hip Hop,Flute,Weekly,2024-10-04
429,525,Rock,Piano,Rarely,2024-01-19
430,9,Classical,Drums,Occasionally,2024-10-09
431,344,Electronic,Flute,Never,2024-02-04
432,364,Hip Hop,Trumpet,Weekly,2024-04-03
433,334,Country,Drums,Rarely,2024-10-19
434,483,Pop,Guitar,Occasionally,2024-07-05
435,471,Hip Hop,Guitar,Rarely,2024-05-12
436,203,Pop,Violin,Occasionally,2024-04-18
437,248,Hip Hop,Flute,Rarely,2024-04-22
438,185,Hip Hop,Saxophone,Rarely,2024-01-28
439,86,Classical,Drums,Rarely,2024-07-11
440,516,Country,Saxophone,Occasionally,2024-09-21
441,179,Electronic,Guitar,Occasionally,2024-10-10
442,116,Pop,Saxophone,Rarely,2024-05-20
443,12,Country,Drums,Daily,2024-05-27
444,553,Rock,Violin,Rarely,2024-08-25
445,176,Rock,Saxophone,Occasionally,2024-02-28
446,225,Rock,Piano,Rarely,2024-06-03
447,410,Jazz,Violin,Never,2024-01-28
448,84,Classical,Trumpet,Never,2024-06-01
449,13,Country,Flute,Occasionally,2024-06-16
450,62,Jazz,Violin,Daily,2024-01-25
451,262,Pop,Flute,Rarely,2024-05-29
452,459,Rock,Piano,Weekly,2024-08-26
453,205,Classical,Guitar,Occasionally,2024-02-06
454,510,Classical,Drums,Occasionally,2024-09-21
455,366,Rock,Trumpet,Occasionally,2024-11-11
456,247,Pop,Drums,Rarely,2024-10-25
457,365,Jazz,Saxophone,Never,2024-05-18
458,19,Jazz,Guitar,Never,2024-04-21
459,438,Classical,Trumpet,Never,2024-01-23
460,530,Classical,Guitar,Rarely,2024-05-28
461,149,Hip Hop,Piano,Weekly,2024-03-15
462,477,Jazz,Violin,Daily,2024-10-25
463,221,Rock,Saxophone,Rarely,2024-04-02
464,97,Electronic,Violin,Rarely,2024-05-11
465,108,Pop,Trumpet,Never,2024-06-03
466,500,Electronic,Saxophone,Never,2024-07-28
467,548,Jazz,Flute,Weekly,2024-09-25
468,415,Pop,Flute,Occasionally,2024-07-29
469,523,Country,Trumpet,Never,2024-08-30
470,323,Electronic,Violin,Occasionally,2024-01-29
471,506,Rock,Trumpet,Occasionally,2024-02-22
472,263,Pop,Piano,Never,2024-07-17
473,547,Country,Violin,Weekly,2024-04-10
474,186,Jazz,Flute,Rarely,2024-11-05
475,300,Country,Flute,Never,2024-08-13
476,480,Electronic,Trumpet,Rarely,2024-02-11
477,280,Electronic,Flute,Daily,2024-05-09
478,497,Rock,Flute,Daily,2024-09-03
479,173,Country,Drums,Never,2024-09-22
480,332,Country,Trumpet,Weekly,2024-11-13
481,91,Classical,Piano,Daily,2024-09-02
482,477,Pop,Trumpet,Occasionally,2024-07-26
483,348,Pop,Violin,Never,2024-08-15
484,97,Hip Hop,Guitar,Rarely,2024-11-12
485,188,Country,Guitar,Weekly,2024-01-09
486,199,Pop,Violin,Never,2024-03-04
487,355,Classical,Drums,Rarely,2024-10-22
488,359,Country,Guitar,Rarely,2024-08-07
489,507,Country,Violin,Occasionally,2024-09-01
490,84,Hip Hop,Violin,Weekly,2024-07-31
491,212,Rock,Violin,Rarely,2024-04-04
492,508,Rock,Trumpet,Never,2024-02-25
493,289,Country,Flute,Never,2024-02-09
494,21,Hip Hop,Guitar,Never,2024-07-04
495,208,Classical,Flute,Rarely,2024-08-09
496,530,Pop,Piano,Rarely,2024-10-16
497,156,Classical,Drums,Never,2024-11-01
498,236,Electronic,Guitar,Occasionally,2024-01-13
499,29,Country,Violin,Never,2024-01-28
500,491,Hip Hop,Trumpet,Daily,2024-06-26
501,101,Rock,Guitar,Rarely,2024-11-04
502,9,Pop,Drums,Weekly,2024-02-16
503,337,Electronic,Flute,Rarely,2024-05-25
504,109,Rock,Trumpet,Occasionally,2024-08-19
505,530,Jazz,Saxophone,Never,2024-07-27
506,494,Pop,Guitar,Occasionally,2024-09-19
507,416,Jazz,Drums,Weekly,2024-08-02
508,415,Hip Hop,Violin,Daily,2024-08-15
509,214,Hip Hop,Violin,Weekly,2024-05-17
510,406,Hip Hop,Trumpet,Occasionally,2024-10-02
511,99,Country,Violin,Rarely,2024-01-10
512,126,Country,Drums,Rarely,2024-02-08
513,515,Classical,Piano,Daily,2024-02-05
514,331,Pop,Piano,Rarely,2024-06-06
515,521,Hip Hop,Trumpet,Occasionally,2024-02-29
516,371,Pop,Trumpet,Occasionally,2024-07-10
517,44,Rock,Saxophone,Daily,2024-05-28
518,194,Hip Hop,Violin,Rarely,2024-03-15
519,438,Rock,Saxophone,Never,2024-01-18
520,533,Rock,Flute,Weekly,2024-02-25
521,179,Jazz,Saxophone,Daily,2024-06-22
522,481,Classical,Piano,Daily,2024-07-27
523,414,Country,Trumpet,Never,2024-02-22
524,434,Pop,Trumpet,Daily,2024-10-08
525,220,Electronic,Trumpet,Rarely,2024-01-29
526,228,Rock,Trumpet,Rarely,2024-02-09
527,188,Country,Drums,Never,2024-05-09
528,273,Hip Hop,Trumpet,Never,2024-04-28
529,301,Country,Piano,Weekly,2024-03-21
530,156,Rock,Flute,Rarely,2024-10-06
531,306,Jazz,Saxophone,Occasionally,2024-05-21
532,497,Pop,Saxophone,Weekly,2024-03-30
533,217,Classical,Violin,Occasionally,2024-01-16
534,363,Rock,Saxophone,Daily,2024-01-30
535,506,Jazz,Piano,Never,2024-10-18
536,530,Hip Hop,Trumpet,Occasionally,2024-10-17
537,139,Pop,Piano,Never,2024-05-26
538,398,Jazz,Piano,Weekly,2024-06-15
539,524,Rock,Piano,Occasionally,2024-07-06
540,317,Pop,Trumpet,Rarely,2024-10-28
541,352,Jazz,Guitar,Occasionally,2024-05-15
542,441,Country,Drums,Daily,2024-05-18
543,440,Classical,Guitar,Rarely,2024-08-21
544,311,Rock,Trumpet,Occasionally,2024-03-16
545,400,Electronic,Saxophone,Weekly,2024-10-09
546,206,Pop,Guitar,Occasionally,2024-04-22
547,450,Pop,Guitar,Rarely,2024-05-15
548,266,Classical,Drums,Rarely,2024-04-22
549,246,Jazz,Violin,Weekly,2024-08-31
550,513,Electronic,Flute,Weekly,2024-01-11
551,220,Pop,Saxophone,Occasionally,2024-06-29
552,318,Jazz,Guitar,Rarely,2024-01-09
553,46,Country,Saxophone,Never,2024-02-24
554,194,Hip Hop,Trumpet,Daily,2024-02-03
555,465,Pop,Guitar,Weekly,2024-10-29
556,398,Rock,Flute,Never,2024-11-05
557,173,Classical,Trumpet,Daily,2024-05-17
558,6,Country,Flute,Occasionally,2024-08-03
559,537,Pop,Saxophone,Occasionally,2024-05-10
560,510,Electronic,Flute,Occasionally,2024-02-27
